,title,company_name,location,description,posted_since
0,R&I - Stage Digital Science/Data Science/Machine Learning -...,L'Oreal,Paris (75),"A pourvoir entre Janvier et Juillet 2022 pour 6 mois, situé en région parisienne.
SUJET 1: Construction d'approche data science pour le profiling biologique d…",il y a 30+ jours
1,Internship in Computer Vision and Machine Learning,EyeGauge,Paris 8e (75),"You will be in charge of implementing and testing algorithms for various machine learning tasks.
As a machine learning engineer intern, you will work on…",il y a 7 jours
2,Machine Learning / AI / Computer Vision Intern – Comparative...,Schlumberger,Clamart (92),"When used in classification tasks they cause a bias in a decision boundary for machine learning and deep learning-based solutions, resulting in a smaller…",il y a 7 jours
3,Machine Learning Intern,Capital Management Fund,Paris (75),"We are looking for a trainee to explore with us opportunities to improve our machine learning execution systems.
Capacity to work with very large data sets.",il y a 13 jours
4,Research internship in Machine Learning H/F,CEA - Commissariat à l'Energie Atomique,Palaiseau (91),"Practical experience on at least one Deep Learning model (internship, research projects, etc.).
Fundamental research in the physical sciences and life sciences.",il y a 14 jours
5,Full Stack Machine Learning intern,Kili Technology,Paris 8e (75)•Télétravail,"A dedicated time of one to two days per week for your internship subject.
The adoption of AI algorithms in the industry is now widespread, yet, applications of…",il y a 5 jours
6,RESEARCH INTERNSHIP IN MACHINE LEARNING H/F,CEA,Palaiseau (91),"Practical experience on at least one Deep Learning model (internship, research projects, etc.).
3D Point Cloud Perception with Transformer Models.",il y a 13 jours
7,Machine Learning / AI / Hybrid Models Intern – Physics-infor...,Schlumberger,Clamart (92),The intern will be in charge of defining the best strategy and methodology to provide a new answer product based on data science technologies (statistics and…,il y a 7 jours
8,"Data Scientist (all seniority levels, incl. final year inter...",McKinsey & Company,Paris (75),"Good knowledge of statistical approaches including advanced machine learning techniques (e.g. data science, support vector machines, neural nets, deep learning,…",il y a 6 jours
9,Data Scientist H/F - Internship,Monk,Paris 6e (75)•Télétravail,"Good knowledge of usual machine learning algorithms.
You have already worked on machine learning projects (+++);
Basic knowledge of deep learning.",il y a 3 jours
10,Stage - Data Scientist - Construction de modèles statistique...,Orange Business Services,La Défense (92),"Compréhension et analyse descriptive des données.
Compréhension du contexte métier autour du modèle construit.
Python, R, Microsoft Azure, Pack Office.",il y a 30+ jours
11,Stage data mining & machine learning pour analyser et prédir...,Orange,Lannion (22),"De formation supérieure, vous avez une expérience dans le data mining et le machine learning.
La connaissance de librairies de machine learning (pandas, scikit…",il y a 5 jours
12,Junior Data Scientist H/F - Biomass (6-month internship),Kayrros,Paris 9e (75),"Design, implement and test machine learning algorithms.
You are very interested in deep learning, machine learning applied to time series, image and signal…",Aujourd'hui
13,2021/2022 - Internship opportunities in Data Engineer/Machin...,Amadeus,Nice (06),"You will gain a first experience in Data Science and/or Machine Learning, according to your studies and skills.
Have a support in relocation to Nice offices.",Publiée à l'instant
14,Internship: Security for Distributed Machine Learning F/M,SAP,Mougins (06),"Security and privacy of machine learning.
This internship is based in the SAP Labs France Research Lab, in Sophia-Antipolis.",il y a 11 jours
15,2021/2022 - Internship opportunities in Data Engineer/Machin...,Amadeus,Nice (06),"You will gain a first experience in Data Science and/or Machine Learning, according to your studies and skills.
Have a support in relocation to Nice offices.",Publiée à l'instant
16,Internship: Security for Distributed Machine Learning F/M,SAP,Mougins (06),"Security and privacy of machine learning.
This internship is based in the SAP Labs France Research Lab, in Sophia-Antipolis.",il y a 11 jours
17,"Student Researcher, 2022",Google,Paris (75),Currently enrolled in a full-time degree program and returning to the program after completion of the internship.,il y a 7 jours
18,Data Scientist End-of-Studies Internship - Paris (France) (H...,SESAMm,Paris (75),"Experience: a first internship in quantitative analysis or Machine learning is a plus;
Strong interest in complex Machine learning models (supervised &…",il y a 19 jours
19,Research Internship Python Deep learning Text segmentation -...,My Script,Nantes (44),"You have a knowledge of machine learning methods and neural networks.
You have a knowledge of the Python programming language and a neural network learning…",il y a 30+ jours
20,"Research Intern, 2022",Google,Paris (75),"Returning to your degree after completing the internship.
Experience with research from previous internships, full-time industry experience, personal projects,…",il y a 22 jours
21,Research Data Science Intern - Active Learning,Dataiku,Paris (75),"Good understanding of parametric machine learning algorithms and their optimisation.
This is why we propose in this internship to try, and potentially improve,…",il y a 30+ jours
22,Deep Learning for Combinatorial Optimization - Internship,NAVER LABS Europe,Grenoble (38),"Such paradigm, commonly known as Neural Combinatorial Optimization (NCO) includes data-driven approaches to heuristic learning, using both supervised and…",il y a 30+ jours
23,IT Internship,Procter & Gamble,Paris (75),"Support and collaborate with Data Scientists developing sophisticated machine learning and statistical models.
Proficiency in English and in French.",il y a 7 jours
24,Data Scientist (End-of-studies Internship),Shift Technology,Paris (75),"R&D for product development and innovation (through machine learning, image analysis, NLP, trend analysis, chatbots…).
You are comfortable dealing with clients.",il y a 30+ jours
25,Internship / Stage - Computer Vision & Machine Learning,Seven Sensing Software,Paris (75),This is a quite exploratory subject that requires strong skills in computer vision and 3D geometry as well as in machine/deep learning.,il y a 18 jours
26,Internship - Data Scientist,Numberly,Paris 9e (75)•Télétravail,"You will take part in elaboration, optimization and development of machine-learning algorithms, to improve the efficiency of numberly’s Relationship Marketing…",il y a 12 jours
27,Math & Algorithms Internship in Paris Saclay,NOKIA,Nozay (91),"Experiments with methods at the frontier of causal inference and machine learning.
Develop a working proof-of-concept sparse machine learning model.",il y a 21 jours
28,Stage - Développement en machine learning pour économie d'én...,Orange,Lannion (22),"De formation niveau Bac+5 (école d'ingénieur, école informatique ou université) avec une spécialisation dans le machine learning.",il y a 30+ jours
29,Software Engineer 6 months Internship,Salesforce,Paris (75)+ 1 lieu,"The ESX team within Salesforce is eager to work with an enthusiastic intern with a passion for software development.
This makes CI/CD possible again.",il y a 30+ jours
30,Incremental Learning for Scene Analysis H/F,CEA - Commissariat à l'Energie Atomique,Palaiseau (91),"Keywords: Object detection, semantic segmentation, deep learning, incremental learning, knowledge distillation.
Nuclear energy (fission and fusion),.",il y a 4 jours
31,INCREMENTAL LEARNING FOR SCENE ANALYSIS H/F,CEA,Palaiseau (91),"Keywords: Object detection, semantic segmentation, deep learning, incremental learning, knowledge distillation.
Incremental Learning for Scene Analysis H/F.",il y a 4 jours
32,Research internship Deep learning Knowledge Distillation - F...,My Script,Nantes (44),"Machine learning, deep learning, knowledge distillation, transfer learning, natural language processing.
You have a knowledge of machine learning methods and…",il y a 30+ jours
33,Class-incremental Learning - Internship,NAVER LABS Europe,Grenoble (38),"Class-incremental learning is a branch of continual learning research, whose goal is enabling machine learning models with the required tools to learn new…",il y a 17 jours
34,Junior Analyst H/F - Emissions (6 months),Kayrros,Paris 9e (75),"You are dynamic, curious, eager to see the energy industry in ways you would have not thought of, and interested in machine learning, artificial intelligence,…",il y a 5 jours
35,Computer Vision Engineer INTERNSHIP (6 months),Storelift,Ivry-sur-Seine (94),"You have good programming skills in Python and experience with machine learning frameworks such as PyTorch, TensorFlow, or TensorRT.
Boxy is open 24/7.",il y a 30+ jours
36,Graphics Research Intern - Machine Learning,Unity Technologies,Grenoble (38),"As a machine learning intern, you will work under the supervision of our researchers within the Unity Labs team located in Grenoble, France.",il y a 30+ jours
37,Junior Data Scientist H/F - Biomass (6 months),Kayrros,Paris 9e (75),"Design, implement and test machine learning algorithms.
You are very interested in deep learning, machine learning applied to time series, image and signal…",Aujourd'hui
38,CNRS Internship – Photoluminescence Imaging,L’INSTITUT PHOTOVOLTAÏQUE D’ÎLE-DE-FRANCE (IPVF),Palaiseau (91),"Strong background in mathematics, image processing, and machine learning.
This 6-months internship position, carried out in collaboration between the IPVF-UMR…",il y a 13 jours
39,Internship: Energy Efficient Next-Gen Communication Systems,NOKIA,Nozay (91),"This internship focuses on exploring various techniques, possibly machine-learning based, to improve the energy efficiency of 6G wireless communication networks…",il y a 5 jours
40,Data Science Internship Program,Institut des Systèmes Complexes de Paris...,Paris (75),"Work on supervised learning algorithms for classifications and predictions.
Work on un-supervised learning algorithms for topic detection.",il y a 30+ jours
41,Software Developer Intern,LIFENTO,Paris 2e (75)•Télétravail temporaire,"Aequam Capital is a growing asset manager specialised in risk premia, or risk premia.
Our DNA is based on 4 essential pillars :
Durée du contrat : 6 mois.",il y a 12 jours
42,Data Science Master internship,Université Paris Est Créteil Val de Marne,Créteil (94),"Has done M1 in computer science, applied mathematics or electrical engineering, with a focus on machine learning.
Deep learning-based approach will be proposed.",il y a 22 jours
43,Data Scientist,Descartes Underwriting,Puteaux (92),"Proficient in statistics, applied mathematics and machine learning methods.
Conducting research on the modelling of climate risks and machine learning methods.",il y a 9 jours
44,Business Intelligence Intern - France,Amazon France Logistique SAS,Paris (75),"You will also apply your learning into production database establishment/maintenance, KPI dashboard automation, large-scale data analytics and machine-learning…",il y a 21 jours
45,Electronic Trading Associate - Expert Off Cycle Intern Progr...,Barclays,Paris (75),"Our quants are highly specialised quantitative traders, researchers, and data scientists responsible for developing, deploying and running algorithmic trading…",il y a 30+ jours
46,Application Data Engineer Trainee - Machine Learning (h/f),RG PI SAS,Grenoble (38),"_*RG PI*, an *ARaymond* internal start-up incubator company, _ _hosting and supporting transversal innovation project with high stakes _ _is proposing an _…",il y a 7 jours
47,Reasearch intern - Allocation under uncertainty,Capital Management Fund,Paris (75),"Theoretical knowledge and understanding of the Machine learning methods.
This will lead the student to study the core principles of Bayesian Machine learning…",il y a 30+ jours
48,Internship opportunities in Software Development Frontend,Amadeus,Nice (06),Being part of a team where you will participate to program software to facilitate the journey for millions of travellers every year.,Publiée à l'instant
49,Nokia Bell Labs Intern - AI Research Lab,NOKIA,Nozay (91),"The AI Research Lab at Bell Labs Solutions Research invites applications for intern positions in machine learning, mathematics, networking, modeling and…",il y a 21 jours
50,LEARNING HYBRID AUTOMATA MODELS H/F,CEA,Palaiseau (91),Using machine learning methods such as [4] combined with black box testing and allowing to acquire faithful models while ensuring coverage of the system…,il y a 21 jours
51,Advanced Volume Rendering Internship,Avatar Medical,Paris 15e (75),"The successful candidate will join a complementary team of software engineers, physicists and machine learning specialists.",il y a 30+ jours
52,"Research Intern, PhD (FAIR) - AI",Meta,Paris (75),"Publications or experience in fields related to in machine learning, AI, computer vision, natural language processing, computational neuroscience, optimisation,…",il y a 30+ jours
53,Quant Research Intern,Euronext,Paris (75),"Solid knowledge of statistics and advanced machine learning.
Conduct research on trading algorithms of market participants.",il y a 4 jours
54,Development and Evaluation of Machine Learning algorithms in...,CEA - Commissariat à l'Energie Atomique,Grenoble (38),"In this internship, the main objective is to implement an Artificial Intelligence in hardware to have a detection mechanism inside the microprocessor of the IoT…",il y a 3 jours
55,Junior Data Scientist H/F - 3D (6 months),Kayrros,Paris (75),"Design, implement and test machine learning algorithms.
You are very interested in deep learning, machine learning applied to time series, image and signal…",Aujourd'hui
